"TRACKER NAME","CATEGORIES","URL"
"Adobe Experience Cloud","","https://reports.exodus-privacy.eu.org/trackers/229"
"Facebook Analytics","Analytics","https://reports.exodus-privacy.eu.org/trackers/66"
"Facebook Login","Identification","https://reports.exodus-privacy.eu.org/trackers/67"
"Facebook Share","","https://reports.exodus-privacy.eu.org/trackers/70"
"Google CrashLytics","Crash reporting","https://reports.exodus-privacy.eu.org/trackers/27"
"Google Firebase Analytics","Analytics","https://reports.exodus-privacy.eu.org/trackers/49"
"OpenTelemetry (OpenCensus, OpenTracing)","Analytics","https://reports.exodus-privacy.eu.org/trackers/412"
"Salesforce Marketing Cloud","","https://reports.exodus-privacy.eu.org/trackers/220"
"SAP CDC (Gigya)","Analytics","https://reports.exodus-privacy.eu.org/trackers/148"
