"NO","SCOPE","SEVERITY","DESCRIPTION"
"1","*","warning","Base config is configured to trust system certificates."
"2","127.0.0.1                                                    localhost                                                    10.0.2.2                                                    10.0.3.2                                                    198.208.3.132                                                    198.208.3.23                                                    198.208.3.16                                                    198.208.3.35                                                    192.168.4.1                                                    10.0.4.1                                                    172.16.4.1                                                    192.168.5.1                                                    10.0.5.1                                                    172.16.5.1                                                    192.168.2.100","high","Domain config is insecurely configured to permit clear text traffic to these domains in scope."
