NO,SCOPE,SEVERITY,DESCRIPTION,app,source_path
21,vwgroup.io                                                    vwapps.io,secure,"Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: ++MBgDH5WGvL9Bcn5Be30cRcL0f5O+NyoXuWtQdX1aI= Digest: SHA-256,Pin: SkntvS+PgjC9VZKzE1c/4cFypF+pgBHMHt27Nq3j/OU= Digest: SHA-256,Pin: i7WTqTvh0OioIruIfFR4kMPnBqrS2rdiVPl/s2uC/CY= Digest: SHA-256,Pin: r/mIkG3eEpVdm+u/ko/cwxzOMo1bk4TyHIlByibiA5E= Digest: SHA-256]",Audi,/home/jovyan/work/SOEN 321/car_app_analysis/Audi/network_security.csv
22,acdc.swarm.audi,secure,Domain config is securely configured to disallow clear text traffic to these domains in scope.,Audi,/home/jovyan/work/SOEN 321/car_app_analysis/Audi/network_security.csv
23,acdc.swarm.audi,secure,"Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: SkntvS+PgjC9VZKzE1c/4cFypF+pgBHMHt27Nq3j/OU= Digest: SHA-256,Pin: i7WTqTvh0OioIruIfFR4kMPnBqrS2rdiVPl/s2uC/CY= Digest: SHA-256]",Audi,/home/jovyan/work/SOEN 321/car_app_analysis/Audi/network_security.csv
24,cariad.digital                                                    cariad.cloud,secure,Domain config is securely configured to disallow clear text traffic to these domains in scope.,Audi,/home/jovyan/work/SOEN 321/car_app_analysis/Audi/network_security.csv
25,cariad.digital                                                    cariad.cloud,secure,"Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: SkntvS+PgjC9VZKzE1c/4cFypF+pgBHMHt27Nq3j/OU= Digest: SHA-256,Pin: i7WTqTvh0OioIruIfFR4kMPnBqrS2rdiVPl/s2uC/CY= Digest: SHA-256,Pin: r/mIkG3eEpVdm+u/ko/cwxzOMo1bk4TyHIlByibiA5E= Digest: SHA-256]",Audi,/home/jovyan/work/SOEN 321/car_app_analysis/Audi/network_security.csv
26,vwfs.io,secure,Domain config is securely configured to disallow clear text traffic to these domains in scope.,Audi,/home/jovyan/work/SOEN 321/car_app_analysis/Audi/network_security.csv
27,vwfs.io,secure,Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: ++MBgDH5WGvL9Bcn5Be30cRcL0f5O+NyoXuWtQdX1aI= Digest: SHA-256],Audi,/home/jovyan/work/SOEN 321/car_app_analysis/Audi/network_security.csv
28,digitalmarketplace.audi,secure,Domain config is securely configured to disallow clear text traffic to these domains in scope.,Audi,/home/jovyan/work/SOEN 321/car_app_analysis/Audi/network_security.csv
29,digitalmarketplace.audi,secure,Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: SkntvS+PgjC9VZKzE1c/4cFypF+pgBHMHt27Nq3j/OU= Digest: SHA-256],Audi,/home/jovyan/work/SOEN 321/car_app_analysis/Audi/network_security.csv
30,apps.one.audi,secure,Domain config is securely configured to disallow clear text traffic to these domains in scope.,Audi,/home/jovyan/work/SOEN 321/car_app_analysis/Audi/network_security.csv
31,apps.one.audi,secure,Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: ++MBgDH5WGvL9Bcn5Be30cRcL0f5O+NyoXuWtQdX1aI= Digest: SHA-256],Audi,/home/jovyan/work/SOEN 321/car_app_analysis/Audi/network_security.csv
1,*,secure,Base config is configured to disallow clear text traffic to all domains.,BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/network_security.csv
2,customer.bmwgroup.com,secure,Domain config is securely configured to disallow clear text traffic to these domains in scope.,BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/network_security.csv
3,customer.bmwgroup.com,secure,Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: hETpgVvaLC0bvcGG3t0cuqiHvr4XyP2MTwCiqhgRWwU= Digest: SHA-256],BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/network_security.csv
4,login.bmwusa.com,secure,Domain config is securely configured to disallow clear text traffic to these domains in scope.,BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/network_security.csv
5,login.bmwusa.com,secure,Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: hETpgVvaLC0bvcGG3t0cuqiHvr4XyP2MTwCiqhgRWwU= Digest: SHA-256],BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/network_security.csv
6,cocoapi.bmwgroup.com,secure,Domain config is securely configured to disallow clear text traffic to these domains in scope.,BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/network_security.csv
