TRACKER NAME,CATEGORIES,URL,app,source_path
Matomo (Piwik),Analytics,https://reports.exodus-privacy.eu.org/trackers/138,Ford,/home/jovyan/work/SOEN 321/car_app_analysis/Ford/trackers.csv
Mintegral,"Advertisement, Analytics",https://reports.exodus-privacy.eu.org/trackers/200,Ford,/home/jovyan/work/SOEN 321/car_app_analysis/Ford/trackers.csv
Adjust,Analytics,https://reports.exodus-privacy.eu.org/trackers/52,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/trackers.csv
Amplitude,"Profiling, Analytics",https://reports.exodus-privacy.eu.org/trackers/125,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/trackers.csv
Appdynamics,"Profiling, Analytics",https://reports.exodus-privacy.eu.org/trackers/194,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/trackers.csv
Facebook Login,Identification,https://reports.exodus-privacy.eu.org/trackers/67,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/trackers.csv
Facebook Share,,https://reports.exodus-privacy.eu.org/trackers/70,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/trackers.csv
Google CrashLytics,Crash reporting,https://reports.exodus-privacy.eu.org/trackers/27,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/trackers.csv
Google Firebase Analytics,Analytics,https://reports.exodus-privacy.eu.org/trackers/49,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/trackers.csv
Qualtrics,,https://reports.exodus-privacy.eu.org/trackers/306,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/trackers.csv
Adobe Experience Cloud,,https://reports.exodus-privacy.eu.org/trackers/229,Jeep,/home/jovyan/work/SOEN 321/car_app_analysis/Jeep/trackers.csv
Facebook Analytics,Analytics,https://reports.exodus-privacy.eu.org/trackers/66,Jeep,/home/jovyan/work/SOEN 321/car_app_analysis/Jeep/trackers.csv
Facebook Login,Identification,https://reports.exodus-privacy.eu.org/trackers/67,Jeep,/home/jovyan/work/SOEN 321/car_app_analysis/Jeep/trackers.csv
Facebook Share,,https://reports.exodus-privacy.eu.org/trackers/70,Jeep,/home/jovyan/work/SOEN 321/car_app_analysis/Jeep/trackers.csv
Google CrashLytics,Crash reporting,https://reports.exodus-privacy.eu.org/trackers/27,Jeep,/home/jovyan/work/SOEN 321/car_app_analysis/Jeep/trackers.csv
Google Firebase Analytics,Analytics,https://reports.exodus-privacy.eu.org/trackers/49,Jeep,/home/jovyan/work/SOEN 321/car_app_analysis/Jeep/trackers.csv
"OpenTelemetry (OpenCensus, OpenTracing)",Analytics,https://reports.exodus-privacy.eu.org/trackers/412,Jeep,/home/jovyan/work/SOEN 321/car_app_analysis/Jeep/trackers.csv
Salesforce Marketing Cloud,,https://reports.exodus-privacy.eu.org/trackers/220,Jeep,/home/jovyan/work/SOEN 321/car_app_analysis/Jeep/trackers.csv
SAP CDC (Gigya),Analytics,https://reports.exodus-privacy.eu.org/trackers/148,Jeep,/home/jovyan/work/SOEN 321/car_app_analysis/Jeep/trackers.csv
