"TRACKER NAME","CATEGORIES","URL"
"Adobe Experience Cloud","","https://reports.exodus-privacy.eu.org/trackers/229"
"AltBeacon","","https://reports.exodus-privacy.eu.org/trackers/219"
"Microsoft Visual Studio App Center Analytics","Analytics","https://reports.exodus-privacy.eu.org/trackers/243"
"Microsoft Visual Studio App Center Crashes","Crash reporting","https://reports.exodus-privacy.eu.org/trackers/238"
"OpenTelemetry (OpenCensus, OpenTracing)","Analytics","https://reports.exodus-privacy.eu.org/trackers/412"
