"TITLE","SEVERITY","DESCRIPTION"
"Application vulnerable to Janus Vulnerability","warning","Application is signed with v1 signature scheme, making it vulnerable to Janus vulnerability on Android 5.0-8.0, if signed only with v1 signature scheme. Applications running on Android 5.0-7.0 signed with v1, and v2/v3 scheme is also vulnerable."
"Certificate algorithm might be vulnerable to hash collision","warning","Application is signed with SHA1withRSA. SHA1 hash algorithm is known to have collision issues. The manifest file indicates SHA256withRSA is in use."
"Signed Application","info","Application is signed with a code signing certificate"
