"NO","SCOPE","SEVERITY","DESCRIPTION"
"1","*","secure","Base config is configured to disallow clear text traffic to all domains."
"2","*","warning","Base config is configured to trust system certificates."
"3","platform.tme-atp.eu                                                    ctpa-oneapi.tceu-ctp-prd.toyotaconnectedeurope.io                                                    b2c-login.toyota-europe.com                                                    ctpa-oneapi.tceu-ctp-dev.toyotaconnectedeurope.dev                                                    b2c-login-dev.toyota-europe.com                                                    ctpa-oneapi.tceu-ctp-stg.toyotaconnectedeurope.dev                                                    b2c-login-stg.toyota-europe.com","secure","Domain config is securely configured to disallow clear text traffic to these domains in scope."
"4","platform.tme-atp.eu                                                    ctpa-oneapi.tceu-ctp-prd.toyotaconnectedeurope.io                                                    b2c-login.toyota-europe.com                                                    ctpa-oneapi.tceu-ctp-dev.toyotaconnectedeurope.dev                                                    b2c-login-dev.toyota-europe.com                                                    ctpa-oneapi.tceu-ctp-stg.toyotaconnectedeurope.dev                                                    b2c-login-stg.toyota-europe.com","secure","Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: r/mIkG3eEpVdm+u/ko/cwxzOMo1bk4TyHIlByibiA5E= Digest: SHA-256,Pin: ++MBgDH5WGvL9Bcn5Be30cRcL0f5O+NyoXuWtQdX1aI= Digest: SHA-256]"
